,P.S1,P.C1,P.S2,P.C2,F.S1,F.C1,F.S2,F.C2,F.S3,F.C3,T.S4,T.C4,R.S5,R.C5,Rank,Winner
Player 1 Game 1647,Clubs,6,Hearts,Q,Diamonds,6,Hearts,J,Clubs,3,Clubs,9,Hearts,4,One Pair,0
Player 2 Game 1647,Diamonds,3,Diamonds,J,Diamonds,6,Hearts,J,Clubs,3,Clubs,9,Hearts,4,Two Pair,1
Player 1 Game 1648,Spades,3,Diamonds,A,Clubs,K,Hearts,7,Hearts,8,Clubs,3,Hearts,6,One Pair,0
Player 2 Game 1648,Clubs,5,Clubs,8,Clubs,K,Hearts,7,Hearts,8,Clubs,3,Hearts,6,One Pair,1
Player 1 Game 1649,Clubs,4,Hearts,6,Clubs,Q,Clubs,9,Hearts,4,Hearts,3,Hearts,K,One Pair,0
Player 2 Game 1649,Diamonds,Q,Spades,10,Clubs,Q,Clubs,9,Hearts,4,Hearts,3,Hearts,K,One Pair,1
Player 1 Game 1650,Clubs,8,Hearts,3,Diamonds,9,Diamonds,Q,Hearts,10,Diamonds,10,Spades,2,Straight,1
Player 2 Game 1650,Hearts,Q,Hearts,J,Diamonds,9,Diamonds,Q,Hearts,10,Diamonds,10,Spades,2,Two Pair,0
Player 1 Game 1651,Diamonds,10,Hearts,K,Hearts,Q,Diamonds,2,Clubs,5,Spades,6,Spades,4,High Card,0
Player 2 Game 1651,Hearts,6,Clubs,J,Hearts,Q,Diamonds,2,Clubs,5,Spades,6,Spades,4,One Pair,1
Player 1 Game 1652,Diamonds,8,Hearts,A,Diamonds,3,Hearts,9,Hearts,J,Hearts,K,Spades,8,One Pair,1
Player 2 Game 1652,Spades,7,Diamonds,2,Diamonds,3,Hearts,9,Hearts,J,Hearts,K,Spades,8,High Card,0
Player 1 Game 1653,Hearts,A,Spades,8,Diamonds,3,Spades,4,Diamonds,9,Diamonds,2,Diamonds,K,High Card,0
Player 2 Game 1653,Clubs,4,Clubs,K,Diamonds,3,Spades,4,Diamonds,9,Diamonds,2,Diamonds,K,Two Pair,1
Player 1 Game 1654,Hearts,J,Clubs,4,Clubs,A,Hearts,A,Hearts,4,Hearts,9,Clubs,J,Two Pair,1
Player 2 Game 1654,Spades,7,Spades,3,Clubs,A,Hearts,A,Hearts,4,Hearts,9,Clubs,J,One Pair,0
Player 1 Game 1655,Hearts,Q,Spades,A,Spades,7,Spades,Q,Diamonds,3,Spades,3,Diamonds,10,Two Pair,1
Player 2 Game 1655,Clubs,Q,Clubs,8,Spades,7,Spades,Q,Diamonds,3,Spades,3,Diamonds,10,Two Pair,0
Player 1 Game 1656,Spades,7,Clubs,3,Spades,5,Spades,3,Hearts,5,Spades,10,Clubs,7,Two Pair,1
Player 2 Game 1656,Clubs,J,Diamonds,4,Spades,5,Spades,3,Hearts,5,Spades,10,Clubs,7,One Pair,0
Player 1 Game 1657,Diamonds,Q,Hearts,5,Spades,4,Hearts,J,Diamonds,J,Diamonds,7,Clubs,6,One Pair,0
Player 2 Game 1657,Spades,2,Clubs,4,Spades,4,Hearts,J,Diamonds,J,Diamonds,7,Clubs,6,Two Pair,1
Player 1 Game 1658,Diamonds,7,Spades,9,Diamonds,9,Spades,A,Clubs,6,Clubs,A,Hearts,3,Two Pair,1
Player 2 Game 1658,Hearts,K,Diamonds,4,Diamonds,9,Spades,A,Clubs,6,Clubs,A,Hearts,3,One Pair,0
Player 1 Game 1659,Hearts,3,Hearts,4,Clubs,K,Diamonds,2,Diamonds,4,Hearts,8,Spades,Q,One Pair,1
Player 2 Game 1659,Hearts,10,Diamonds,A,Clubs,K,Diamonds,2,Diamonds,4,Hearts,8,Spades,Q,High Card,0
Player 1 Game 1660,Hearts,J,Hearts,2,Diamonds,2,Diamonds,7,Hearts,5,Clubs,K,Clubs,5,Two Pair,0
Player 2 Game 1660,Hearts,K,Diamonds,3,Diamonds,2,Diamonds,7,Hearts,5,Clubs,K,Clubs,5,Two Pair,1
Player 1 Game 1661,Diamonds,4,Clubs,A,Diamonds,6,Clubs,10,Diamonds,5,Hearts,K,Hearts,2,High Card,0
Player 2 Game 1661,Clubs,Q,Hearts,10,Diamonds,6,Clubs,10,Diamonds,5,Hearts,K,Hearts,2,One Pair,1
Player 1 Game 1662,Diamonds,Q,Clubs,7,Hearts,7,Clubs,2,Spades,3,Diamonds,4,Hearts,9,One Pair,1
Player 2 Game 1662,Hearts,J,Clubs,8,Hearts,7,Clubs,2,Spades,3,Diamonds,4,Hearts,9,High Card,0
Player 1 Game 1663,Hearts,5,Hearts,K,Spades,K,Hearts,4,Spades,8,Diamonds,5,Hearts,A,Two Pair,1
Player 2 Game 1663,Diamonds,9,Hearts,8,Spades,K,Hearts,4,Spades,8,Diamonds,5,Hearts,A,One Pair,0
Player 1 Game 1664,Hearts,3,Hearts,4,Clubs,Q,Diamonds,K,Diamonds,5,Diamonds,10,Hearts,5,One Pair,0
Player 2 Game 1664,Clubs,9,Spades,K,Clubs,Q,Diamonds,K,Diamonds,5,Diamonds,10,Hearts,5,Two Pair,1
Player 1 Game 1665,Clubs,6,Hearts,5,Spades,A,Diamonds,4,Spades,9,Hearts,J,Spades,5,One Pair,1
Player 2 Game 1665,Diamonds,2,Clubs,8,Spades,A,Diamonds,4,Spades,9,Hearts,J,Spades,5,High Card,0
Player 1 Game 1666,Clubs,Q,Clubs,J,Hearts,5,Hearts,3,Diamonds,8,Clubs,10,Diamonds,5,One Pair,0
Player 2 Game 1666,Diamonds,K,Clubs,2,Hearts,5,Hearts,3,Diamonds,8,Clubs,10,Diamonds,5,One Pair,1
Player 1 Game 1667,Diamonds,Q,Clubs,7,Spades,A,Hearts,J,Diamonds,5,Clubs,5,Diamonds,2,One Pair,1
Player 2 Game 1667,Clubs,4,Diamonds,7,Spades,A,Hearts,J,Diamonds,5,Clubs,5,Diamonds,2,One Pair,0
Player 1 Game 1668,Diamonds,3,Hearts,3,Hearts,2,Spades,9,Spades,8,Diamonds,6,Clubs,9,Straight,1
Player 2 Game 1668,Spades,A,Clubs,A,Hearts,2,Spades,9,Spades,8,Diamonds,6,Clubs,9,Two Pair,0
Player 1 Game 1669,Spades,2,Clubs,K,Diamonds,9,Spades,10,Diamonds,7,Hearts,6,Diamonds,A,High Card,0
Player 2 Game 1669,Clubs,Q,Diamonds,Q,Diamonds,9,Spades,10,Diamonds,7,Hearts,6,Diamonds,A,Straight,1
Player 1 Game 1670,Diamonds,10,Spades,4,Spades,Q,Diamonds,9,Clubs,5,Spades,9,Diamonds,K,One Pair,2
Player 2 Game 1670,Spades,3,Hearts,10,Spades,Q,Diamonds,9,Clubs,5,Spades,9,Diamonds,K,One Pair,2
Player 1 Game 1671,Hearts,9,Spades,6,Spades,5,Spades,9,Spades,7,Clubs,3,Hearts,4,Straight,1
Player 2 Game 1671,Hearts,3,Diamonds,9,Spades,5,Spades,9,Spades,7,Clubs,3,Hearts,4,Two Pair,0
Player 1 Game 1672,Diamonds,K,Clubs,Q,Diamonds,J,Spades,7,Diamonds,9,Clubs,K,Clubs,4,One Pair,0
Player 2 Game 1672,Spades,9,Diamonds,7,Diamonds,J,Spades,7,Diamonds,9,Clubs,K,Clubs,4,Two Pair,1
Player 1 Game 1673,Spades,3,Diamonds,2,Diamonds,4,Spades,4,Hearts,J,Hearts,10,Spades,K,One Pair,0
Player 2 Game 1673,Hearts,2,Clubs,4,Diamonds,4,Spades,4,Hearts,J,Hearts,10,Spades,K,Three of a Kind,1
Player 1 Game 1674,Spades,K,Hearts,J,Hearts,3,Diamonds,6,Clubs,J,Spades,6,Clubs,5,Two Pair,1
Player 2 Game 1674,Hearts,Q,Hearts,K,Hearts,3,Diamonds,6,Clubs,J,Spades,6,Clubs,5,One Pair,0
Player 1 Game 1675,Clubs,Q,Spades,J,Spades,4,Clubs,10,Hearts,Q,Clubs,J,Hearts,10,Two Pair,1
Player 2 Game 1675,Clubs,K,Diamonds,Q,Spades,4,Clubs,10,Hearts,Q,Clubs,J,Hearts,10,Two Pair,0
Player 1 Game 1676,Hearts,2,Diamonds,Q,Clubs,9,Spades,6,Spades,9,Clubs,Q,Clubs,2,Two Pair,0
Player 2 Game 1676,Hearts,4,Diamonds,9,Clubs,9,Spades,6,Spades,9,Clubs,Q,Clubs,2,Three of a Kind,1
Player 1 Game 1677,Diamonds,6,Hearts,Q,Spades,J,Clubs,A,Diamonds,5,Spades,5,Diamonds,9,One Pair,1
Player 2 Game 1677,Spades,2,Clubs,4,Spades,J,Clubs,A,Diamonds,5,Spades,5,Diamonds,9,One Pair,0
Player 1 Game 1678,Spades,9,Hearts,10,Clubs,5,Clubs,7,Spades,5,Clubs,9,Clubs,3,Straight,1
Player 2 Game 1678,Hearts,6,Spades,2,Clubs,5,Clubs,7,Spades,5,Clubs,9,Clubs,3,One Pair,0
Player 1 Game 1679,Diamonds,A,Hearts,A,Hearts,10,Hearts,5,Hearts,Q,Diamonds,J,Clubs,2,One Pair,1
Player 2 Game 1679,Clubs,8,Clubs,10,Hearts,10,Hearts,5,Hearts,Q,Diamonds,J,Clubs,2,One Pair,0
Player 1 Game 1680,Diamonds,7,Hearts,9,Diamonds,9,Spades,5,Spades,Q,Spades,K,Hearts,2,One Pair,1
Player 2 Game 1680,Clubs,10,Clubs,3,Diamonds,9,Spades,5,Spades,Q,Spades,K,Hearts,2,High Card,0
Player 1 Game 1681,Hearts,7,Diamonds,3,Spades,K,Diamonds,4,Clubs,3,Hearts,2,Hearts,10,One Pair,0
Player 2 Game 1681,Hearts,3,Clubs,9,Spades,K,Diamonds,4,Clubs,3,Hearts,2,Hearts,10,One Pair,1
Player 1 Game 1682,Spades,K,Hearts,Q,Hearts,6,Clubs,3,Hearts,A,Diamonds,A,Clubs,A,Three of a Kind,0
Player 2 Game 1682,Spades,10,Spades,4,Hearts,6,Clubs,3,Hearts,A,Diamonds,A,Clubs,A,Straight,1
Player 1 Game 1683,Spades,Q,Clubs,Q,Hearts,8,Clubs,3,Hearts,10,Clubs,6,Clubs,5,One Pair,1
Player 2 Game 1683,Hearts,4,Diamonds,A,Hearts,8,Clubs,3,Hearts,10,Clubs,6,Clubs,5,High Card,0
Player 1 Game 1684,Spades,Q,Clubs,2,Clubs,4,Clubs,J,Diamonds,3,Spades,10,Diamonds,6,High Card,0
Player 2 Game 1684,Clubs,A,Hearts,9,Clubs,4,Clubs,J,Diamonds,3,Spades,10,Diamonds,6,High Card,1
Player 1 Game 1685,Clubs,A,Clubs,6,Diamonds,2,Diamonds,9,Hearts,4,Clubs,9,Hearts,6,Two Pair,1
Player 2 Game 1685,Hearts,K,Diamonds,6,Diamonds,2,Diamonds,9,Hearts,4,Clubs,9,Hearts,6,Two Pair,0
Player 1 Game 1686,Hearts,A,Spades,J,Hearts,8,Clubs,9,Hearts,4,Diamonds,5,Clubs,7,High Card,0
Player 2 Game 1686,Clubs,Q,Hearts,9,Hearts,8,Clubs,9,Hearts,4,Diamonds,5,Clubs,7,One Pair,1
Player 1 Game 1687,Hearts,8,Diamonds,A,Diamonds,K,Diamonds,5,Diamonds,2,Diamonds,Q,Spades,8,Flush,1
Player 2 Game 1687,Clubs,A,Hearts,K,Diamonds,K,Diamonds,5,Diamonds,2,Diamonds,Q,Spades,8,Straight,0
Player 1 Game 1688,Clubs,5,Spades,3,Diamonds,A,Clubs,2,Spades,5,Hearts,A,Clubs,8,Two Pair,0
Player 2 Game 1688,Diamonds,Q,Spades,8,Diamonds,A,Clubs,2,Spades,5,Hearts,A,Clubs,8,Two Pair,1
Player 1 Game 1689,Clubs,8,Diamonds,A,Hearts,8,Spades,4,Clubs,5,Spades,3,Diamonds,J,One Pair,1
Player 2 Game 1689,Clubs,7,Spades,A,Hearts,8,Spades,4,Clubs,5,Spades,3,Diamonds,J,High Card,0
Player 1 Game 1690,Spades,3,Clubs,A,Diamonds,J,Clubs,Q,Clubs,8,Clubs,10,Clubs,9,Flush,1
Player 2 Game 1690,Diamonds,2,Clubs,2,Diamonds,J,Clubs,Q,Clubs,8,Clubs,10,Clubs,9,Flush,0
Player 1 Game 1691,Clubs,K,Spades,9,Diamonds,5,Diamonds,10,Clubs,J,Clubs,6,Clubs,10,Straight,1
Player 2 Game 1691,Hearts,8,Hearts,7,Diamonds,5,Diamonds,10,Clubs,J,Clubs,6,Clubs,10,One Pair,0
Player 1 Game 1692,Diamonds,K,Clubs,6,Diamonds,7,Diamonds,3,Hearts,7,Clubs,5,Clubs,Q,One Pair,0
Player 2 Game 1692,Spades,5,Diamonds,10,Diamonds,7,Diamonds,3,Hearts,7,Clubs,5,Clubs,Q,Two Pair,1
Player 1 Game 1693,Hearts,8,Clubs,9,Clubs,J,Clubs,6,Spades,7,Diamonds,5,Spades,K,Straight,0
Player 2 Game 1693,Diamonds,K,Spades,J,Clubs,J,Clubs,6,Spades,7,Diamonds,5,Spades,K,Straight,1
Player 1 Game 1694,Spades,10,Hearts,9,Hearts,A,Spades,Q,Spades,4,Clubs,9,Clubs,3,One Pair,1
Player 2 Game 1694,Hearts,6,Hearts,10,Hearts,A,Spades,Q,Spades,4,Clubs,9,Clubs,3,High Card,0
Player 1 Game 1695,Spades,2,Clubs,6,Hearts,9,Spades,K,Clubs,5,Hearts,A,Spades,3,High Card,0
Player 2 Game 1695,Diamonds,7,Diamonds,3,Hearts,9,Spades,K,Clubs,5,Hearts,A,Spades,3,One Pair,1
Player 1 Game 1696,Diamonds,A,Hearts,A,Spades,K,Hearts,Q,Diamonds,6,Clubs,7,Spades,6,Straight,1
Player 2 Game 1696,Spades,J,Diamonds,J,Spades,K,Hearts,Q,Diamonds,6,Clubs,7,Spades,6,Two Pair,0
Player 1 Game 1697,Spades,Q,Spades,3,Hearts,J,Spades,8,Clubs,6,Diamonds,3,Spades,5,One Pair,1
Player 2 Game 1697,Clubs,Q,Spades,2,Hearts,J,Spades,8,Clubs,6,Diamonds,3,Spades,5,High Card,0
Player 1 Game 1698,Diamonds,4,Spades,4,Diamonds,6,Clubs,6,Diamonds,J,Clubs,5,Spades,2,Two Pair,1
Player 2 Game 1698,Diamonds,2,Diamonds,3,Diamonds,6,Clubs,6,Diamonds,J,Clubs,5,Spades,2,Two Pair,0
Player 1 Game 1699,Hearts,5,Hearts,J,Spades,3,Diamonds,6,Hearts,K,Diamonds,K,Clubs,7,One Pair,0
Player 2 Game 1699,Spades,Q,Spades,9,Spades,3,Diamonds,6,Hearts,K,Diamonds,K,Clubs,7,One Pair,1
Player 1 Game 1700,Clubs,Q,Spades,8,Diamonds,3,Hearts,6,Clubs,9,Spades,3,Clubs,4,One Pair,0
Player 2 Game 1700,Spades,9,Hearts,8,Diamonds,3,Hearts,6,Clubs,9,Spades,3,Clubs,4,Two Pair,1
Player 1 Game 1701,Diamonds,7,Spades,9,Diamonds,4,Clubs,10,Hearts,3,Clubs,2,Diamonds,9,One Pair,1
Player 2 Game 1701,Hearts,Q,Hearts,8,Diamonds,4,Clubs,10,Hearts,3,Clubs,2,Diamonds,9,High Card,0
Player 1 Game 1702,Spades,5,Hearts,6,Diamonds,Q,Diamonds,2,Hearts,7,Diamonds,6,Spades,K,One Pair,0
Player 2 Game 1702,Hearts,K,Spades,3,Diamonds,Q,Diamonds,2,Hearts,7,Diamonds,6,Spades,K,One Pair,1
Player 1 Game 1703,Clubs,2,Spades,5,Clubs,K,Hearts,Q,Spades,6,Diamonds,8,Clubs,6,One Pair,0
Player 2 Game 1703,Clubs,8,Hearts,7,Clubs,K,Hearts,Q,Spades,6,Diamonds,8,Clubs,6,Two Pair,1
Player 1 Game 1704,Diamonds,6,Clubs,7,Spades,2,Clubs,6,Spades,3,Clubs,2,Hearts,Q,Two Pair,1
Player 2 Game 1704,Hearts,A,Clubs,5,Spades,2,Clubs,6,Spades,3,Clubs,2,Hearts,Q,One Pair,0
Player 1 Game 1705,Clubs,10,Diamonds,10,Clubs,6,Diamonds,Q,Spades,9,Clubs,8,Spades,8,Two Pair,1
Player 2 Game 1705,Clubs,A,Hearts,3,Clubs,6,Diamonds,Q,Spades,9,Clubs,8,Spades,8,One Pair,0
Player 1 Game 1706,Hearts,6,Hearts,Q,Spades,3,Clubs,2,Diamonds,10,Hearts,K,Diamonds,5,High Card,0
Player 2 Game 1706,Hearts,5,Spades,Q,Spades,3,Clubs,2,Diamonds,10,Hearts,K,Diamonds,5,One Pair,1
Player 1 Game 1707,Diamonds,K,Diamonds,3,Hearts,5,Clubs,K,Clubs,3,Hearts,6,Spades,2,Two Pair,1
Player 2 Game 1707,Spades,10,Hearts,J,Hearts,5,Clubs,K,Clubs,3,Hearts,6,Spades,2,High Card,0
Player 1 Game 1708,Hearts,8,Spades,2,Spades,6,Diamonds,8,Hearts,4,Diamonds,4,Clubs,10,Straight,1
Player 2 Game 1708,Diamonds,7,Spades,J,Spades,6,Diamonds,8,Hearts,4,Diamonds,4,Clubs,10,One Pair,0
Player 1 Game 1709,Spades,8,Clubs,2,Clubs,A,Diamonds,7,Clubs,4,Diamonds,Q,Spades,6,High Card,0
Player 2 Game 1709,Clubs,9,Hearts,J,Clubs,A,Diamonds,7,Clubs,4,Diamonds,Q,Spades,6,High Card,1
Player 1 Game 1710,Clubs,9,Hearts,A,Clubs,3,Hearts,3,Spades,6,Spades,9,Diamonds,4,Two Pair,1
Player 2 Game 1710,Spades,Q,Clubs,2,Clubs,3,Hearts,3,Spades,6,Spades,9,Diamonds,4,One Pair,0
Player 1 Game 1711,Clubs,A,Clubs,3,Diamonds,7,Spades,2,Hearts,7,Hearts,4,Spades,3,Two Pair,1
Player 2 Game 1711,Diamonds,J,Clubs,8,Diamonds,7,Spades,2,Hearts,7,Hearts,4,Spades,3,One Pair,0
Player 1 Game 1712,Clubs,A,Clubs,9,Hearts,3,Spades,A,Diamonds,J,Spades,K,Diamonds,A,Three of a Kind,0
Player 2 Game 1712,Hearts,A,Clubs,3,Hearts,3,Spades,A,Diamonds,J,Spades,K,Diamonds,A,Full House,1
Player 1 Game 1713,Spades,10,Spades,6,Spades,J,Clubs,Q,Clubs,2,Clubs,3,Spades,8,High Card,0
Player 2 Game 1713,Diamonds,6,Hearts,K,Spades,J,Clubs,Q,Clubs,2,Clubs,3,Spades,8,High Card,1
Player 1 Game 1714,Clubs,5,Spades,Q,Hearts,7,Diamonds,5,Hearts,10,Clubs,Q,Diamonds,J,Two Pair,1
Player 2 Game 1714,Clubs,A,Hearts,3,Hearts,7,Diamonds,5,Hearts,10,Clubs,Q,Diamonds,J,High Card,0
Player 1 Game 1715,Clubs,6,Clubs,3,Spades,4,Diamonds,10,Clubs,A,Hearts,7,Clubs,10,One Pair,0
Player 2 Game 1715,Spades,A,Hearts,J,Spades,4,Diamonds,10,Clubs,A,Hearts,7,Clubs,10,Two Pair,1
Player 1 Game 1716,Diamonds,Q,Diamonds,10,Clubs,6,Diamonds,7,Clubs,J,Diamonds,K,Spades,10,Straight,1
Player 2 Game 1716,Spades,4,Spades,7,Clubs,6,Diamonds,7,Clubs,J,Diamonds,K,Spades,10,One Pair,0
Player 1 Game 1717,Hearts,3,Spades,A,Hearts,6,Clubs,2,Clubs,7,Diamonds,4,Spades,K,High Card,0
Player 2 Game 1717,Clubs,6,Diamonds,9,Hearts,6,Clubs,2,Clubs,7,Diamonds,4,Spades,K,Straight,1
Player 1 Game 1718,Diamonds,J,Spades,Q,Clubs,5,Hearts,K,Diamonds,5,Diamonds,9,Clubs,A,One Pair,2
Player 2 Game 1718,Hearts,Q,Diamonds,10,Clubs,5,Hearts,K,Diamonds,5,Diamonds,9,Clubs,A,One Pair,2
Player 1 Game 1719,Clubs,J,Diamonds,10,Diamonds,8,Spades,3,Hearts,7,Spades,4,Spades,8,Straight,2
Player 2 Game 1719,Hearts,10,Spades,K,Diamonds,8,Spades,3,Hearts,7,Spades,4,Spades,8,Straight,2
Player 1 Game 1720,Spades,K,Clubs,8,Clubs,3,Spades,J,Clubs,K,Spades,Q,Hearts,10,One Pair,1
Player 2 Game 1720,Spades,3,Diamonds,2,Clubs,3,Spades,J,Clubs,K,Spades,Q,Hearts,10,One Pair,0
Player 1 Game 1721,Clubs,K,Diamonds,9,Diamonds,10,Hearts,6,Diamonds,A,Diamonds,Q,Clubs,5,High Card,0
Player 2 Game 1721,Clubs,7,Diamonds,7,Diamonds,10,Hearts,6,Diamonds,A,Diamonds,Q,Clubs,5,One Pair,1
Player 1 Game 1722,Diamonds,8,Spades,6,Diamonds,6,Diamonds,7,Spades,10,Spades,2,Spades,7,Two Pair,0
Player 2 Game 1722,Clubs,8,Hearts,A,Diamonds,6,Diamonds,7,Spades,10,Spades,2,Spades,7,Straight,1
Player 1 Game 1723,Diamonds,4,Diamonds,8,Hearts,8,Spades,K,Clubs,A,Spades,2,Hearts,6,One Pair,1
Player 2 Game 1723,Clubs,4,Diamonds,6,Hearts,8,Spades,K,Clubs,A,Spades,2,Hearts,6,One Pair,0
Player 1 Game 1724,Diamonds,K,Clubs,Q,Hearts,7,Diamonds,2,Hearts,K,Hearts,Q,Diamonds,9,Two Pair,1
Player 2 Game 1724,Clubs,9,Hearts,A,Hearts,7,Diamonds,2,Hearts,K,Hearts,Q,Diamonds,9,One Pair,0
Player 1 Game 1725,Hearts,5,Clubs,4,Spades,8,Spades,5,Clubs,A,Diamonds,4,Diamonds,J,Two Pair,1
Player 2 Game 1725,Spades,K,Hearts,4,Spades,8,Spades,5,Clubs,A,Diamonds,4,Diamonds,J,One Pair,0
Player 1 Game 1726,Clubs,8,Clubs,2,Clubs,4,Spades,K,Diamonds,9,Diamonds,8,Hearts,A,One Pair,1
Player 2 Game 1726,Spades,6,Diamonds,10,Clubs,4,Spades,K,Diamonds,9,Diamonds,8,Hearts,A,High Card,0
Player 1 Game 1727,Hearts,J,Diamonds,9,Spades,9,Spades,8,Spades,K,Spades,A,Clubs,10,One Pair,1
Player 2 Game 1727,Diamonds,3,Hearts,4,Spades,9,Spades,8,Spades,K,Spades,A,Clubs,10,High Card,0
Player 1 Game 1728,Clubs,3,Diamonds,9,Clubs,K,Hearts,9,Diamonds,2,Diamonds,J,Spades,10,One Pair,1
Player 2 Game 1728,Hearts,6,Hearts,3,Clubs,K,Hearts,9,Diamonds,2,Diamonds,J,Spades,10,High Card,0
Player 1 Game 1729,Clubs,6,Hearts,J,Hearts,K,Clubs,3,Clubs,7,Diamonds,K,Spades,10,One Pair,1
Player 2 Game 1729,Diamonds,6,Hearts,4,Hearts,K,Clubs,3,Clubs,7,Diamonds,K,Spades,10,One Pair,0
Player 1 Game 1730,Hearts,3,Diamonds,Q,Spades,K,Spades,7,Clubs,Q,Hearts,10,Spades,J,One Pair,1
Player 2 Game 1730,Spades,3,Diamonds,3,Spades,K,Spades,7,Clubs,Q,Hearts,10,Spades,J,One Pair,0
Player 1 Game 1731,Spades,Q,Spades,2,Spades,5,Spades,J,Diamonds,6,Hearts,10,Hearts,2,One Pair,0
Player 2 Game 1731,Diamonds,A,Hearts,5,Spades,5,Spades,J,Diamonds,6,Hearts,10,Hearts,2,One Pair,1
Player 1 Game 1732,Spades,6,Diamonds,8,Hearts,A,Clubs,J,Hearts,3,Hearts,5,Hearts,2,High Card,0
Player 2 Game 1732,Clubs,8,Spades,7,Hearts,A,Clubs,J,Hearts,3,Hearts,5,Hearts,2,High Card,1
Player 1 Game 1733,Spades,J,Hearts,4,Hearts,7,Hearts,J,Clubs,10,Diamonds,Q,Spades,6,Straight,2
Player 2 Game 1733,Diamonds,4,Clubs,J,Hearts,7,Hearts,J,Clubs,10,Diamonds,Q,Spades,6,Straight,2
Player 1 Game 1734,Spades,9,Clubs,A,Hearts,5,Spades,Q,Hearts,6,Spades,10,Hearts,7,High Card,2
Player 2 Game 1734,Hearts,A,Clubs,9,Hearts,5,Spades,Q,Hearts,6,Spades,10,Hearts,7,High Card,2
Player 1 Game 1735,Spades,Q,Clubs,6,Diamonds,K,Hearts,4,Clubs,4,Diamonds,7,Hearts,A,One Pair,0
Player 2 Game 1735,Clubs,5,Diamonds,6,Diamonds,K,Hearts,4,Clubs,4,Diamonds,7,Hearts,A,Straight,1
Player 1 Game 1736,Clubs,8,Spades,A,Clubs,7,Clubs,6,Hearts,9,Diamonds,4,Diamonds,9,One Pair,0
Player 2 Game 1736,Diamonds,7,Hearts,J,Clubs,7,Clubs,6,Hearts,9,Diamonds,4,Diamonds,9,Two Pair,1
Player 1 Game 1737,Clubs,6,Spades,6,Spades,J,Clubs,8,Clubs,2,Hearts,2,Clubs,9,Two Pair,1
Player 2 Game 1737,Spades,3,Diamonds,K,Spades,J,Clubs,8,Clubs,2,Hearts,2,Clubs,9,One Pair,0
Player 1 Game 1738,Spades,8,Spades,5,Diamonds,3,Spades,K,Clubs,9,Clubs,8,Hearts,4,One Pair,1
Player 2 Game 1738,Spades,9,Hearts,J,Diamonds,3,Spades,K,Clubs,9,Clubs,8,Hearts,4,One Pair,0
Player 1 Game 1739,Diamonds,J,Spades,5,Spades,K,Hearts,9,Spades,4,Clubs,4,Hearts,4,Three of a Kind,0
Player 2 Game 1739,Hearts,10,Diamonds,A,Spades,K,Hearts,9,Spades,4,Clubs,4,Hearts,4,Three of a Kind,1
Player 1 Game 1740,Hearts,9,Clubs,6,Clubs,3,Clubs,7,Spades,9,Clubs,5,Clubs,Q,Flush,0
Player 2 Game 1740,Hearts,7,Clubs,10,Clubs,3,Clubs,7,Spades,9,Clubs,5,Clubs,Q,Flush,1
Player 1 Game 1741,Clubs,2,Clubs,A,Hearts,A,Hearts,7,Diamonds,8,Diamonds,2,Hearts,K,Two Pair,0
Player 2 Game 1741,Hearts,10,Hearts,8,Hearts,A,Hearts,7,Diamonds,8,Diamonds,2,Hearts,K,Flush,1
Player 1 Game 1742,Clubs,4,Hearts,3,Clubs,7,Clubs,5,Hearts,5,Hearts,6,Diamonds,J,One Pair,0
Player 2 Game 1742,Spades,A,Diamonds,8,Clubs,7,Clubs,5,Hearts,5,Hearts,6,Diamonds,J,One Pair,1
Player 1 Game 1743,Spades,J,Spades,9,Spades,7,Spades,8,Spades,6,Clubs,9,Hearts,9,Flush,1
Player 2 Game 1743,Diamonds,2,Spades,2,Spades,7,Spades,8,Spades,6,Clubs,9,Hearts,9,Two Pair,0
Player 1 Game 1744,Diamonds,10,Hearts,A,Diamonds,K,Spades,3,Clubs,8,Clubs,A,Diamonds,J,One Pair,1
Player 2 Game 1744,Spades,2,Spades,J,Diamonds,K,Spades,3,Clubs,8,Clubs,A,Diamonds,J,One Pair,0
Player 1 Game 1745,Hearts,2,Hearts,5,Diamonds,10,Diamonds,9,Diamonds,3,Hearts,Q,Diamonds,8,High Card,0
Player 2 Game 1745,Diamonds,4,Clubs,5,Diamonds,10,Diamonds,9,Diamonds,3,Hearts,Q,Diamonds,8,Flush,1
Player 1 Game 1746,Clubs,4,Clubs,3,Diamonds,K,Spades,J,Clubs,2,Hearts,8,Spades,Q,High Card,0
Player 2 Game 1746,Clubs,6,Hearts,A,Diamonds,K,Spades,J,Clubs,2,Hearts,8,Spades,Q,High Card,1
Player 1 Game 1747,Clubs,4,Clubs,3,Diamonds,2,Hearts,J,Hearts,Q,Hearts,8,Spades,7,High Card,0
Player 2 Game 1747,Diamonds,K,Diamonds,7,Diamonds,2,Hearts,J,Hearts,Q,Hearts,8,Spades,7,One Pair,1
Player 1 Game 1748,Clubs,5,Hearts,4,Spades,9,Clubs,9,Spades,5,Clubs,Q,Diamonds,J,Two Pair,0
Player 2 Game 1748,Spades,Q,Diamonds,2,Spades,9,Clubs,9,Spades,5,Clubs,Q,Diamonds,J,Two Pair,1
Player 1 Game 1749,Hearts,K,Spades,10,Spades,K,Clubs,J,Diamonds,K,Diamonds,8,Diamonds,J,Full House,1
